gene_id	gene_name	gene_type	strand	mappability	contig	TSS
ENSG00000221978.11	CCNL2	protein_coding	-	0.9975	chr1	1399328
ENSG00000224870.6	RP4-758J18.2	processed_transcript	+	1.0	chr1	1399522
ENSG00000242485.5	MRPL20	protein_coding	-	0.95587	chr1	1407313
ENSG00000235098.8	ANKRD65	protein_coding	-	0.88032	chr1	1421769
ENSG00000225905.1	RP4-758J18.7	antisense	+	1.0	chr1	1422469
ENSG00000225285.1	LINC01770	lincRNA	-	1.0	chr1	1434573
ENSG00000179403.11	VWA1	protein_coding	+	0.99947	chr1	1434861
ENSG00000205090.8	TMEM240	protein_coding	-	1.0	chr1	1540453
ENSG00000160075.11	SSU72	protein_coding	-	0.91948	chr1	1574869
ENSG00000215014.4	RP5-832C2.5	lincRNA	+	0.90346	chr1	1574975
ENSG00000228594.3	FNDC10	protein_coding	-	1.0	chr1	1600096
ENSG00000272106.1	RP11-345P4.9	antisense	-	0.99924	chr1	1615795
ENSG00000197530.12	MIB2	protein_coding	+	0.99403	chr1	1615879
ENSG00000008130.15	NADK	protein_coding	-	0.87027	chr1	1780457
ENSG00000078369.17	GNB1	protein_coding	-	0.998	chr1	1891117
ENSG00000231050.1	RP1-140A9.1	antisense	+	1.0	chr1	1891471
ENSG00000169885.9	CALML6	protein_coding	+	1.0	chr1	1914827
ENSG00000178821.12	TMEM52	protein_coding	-	1.0	chr1	1919273
ENSG00000142609.17	CFAP74	protein_coding	-	0.94764	chr1	2003837
ENSG00000233542.1	RP11-547D24.1	antisense	-	0.99257	chr1	2015530
ENSG00000187730.8	GABRD	protein_coding	+	0.97778	chr1	2019298
ENSG00000067606.16	PRKCZ	protein_coding	+	0.99912	chr1	2050470
ENSG00000271806.1	RP5-892K4.1	antisense	-	0.81439	chr1	2145279
ENSG00000182873.5	PRKCZ-AS1	antisense	-	1.0	chr1	2184389
ENSG00000234396.3	RP11-181G12.4	lincRNA	+	1.0	chr1	2212523
ENSG00000162585.16	FAAP20	protein_coding	-	0.9679	chr1	2212720
ENSG00000157933.9	SKI	protein_coding	+	0.98369	chr1	2228695
ENSG00000272161.1	RP4-713A8.1	sense_intronic	-	1.0	chr1	2326693
ENSG00000269896.2	RP4-740C4.5	transcribed_processed_pseudogene	-	0.9895	chr1	2352820
ENSG00000272420.1	RP4-740C4.7	sense_intronic	-	1.0	chr1	2363628
ENSG00000116151.13	MORN1	protein_coding	-	0.99188	chr1	2391707
ENSG00000157916.19	RER1	protein_coding	+	0.99918	chr1	2391775
ENSG00000157911.9	PEX10	protein_coding	-	1.0	chr1	2413797
ENSG00000149527.17	PLCH2	protein_coding	+	0.99724	chr1	2425980
ENSG00000224387.1	RP3-395M20.2	antisense	-	1.0	chr1	2493258
ENSG00000229393.1	RP3-395M20.3	antisense	-	1.0	chr1	2494479
ENSG00000157881.13	PANK4	protein_coding	-	1.0	chr1	2526628
ENSG00000197921.5	HES5	protein_coding	-	1.0	chr1	2530245
ENSG00000272449.1	RP3-395M20.12	lincRNA	+	1.0	chr1	2546465
ENSG00000157873.17	TNFRSF14	protein_coding	+	0.99944	chr1	2556697
ENSG00000228037.1	RP3-395M20.9	lincRNA	+	1.0	chr1	2581560
ENSG00000157870.14	FAM213B	protein_coding	+	0.99439	chr1	2586491
ENSG00000142606.15	MMEL1	protein_coding	-	1.0	chr1	2632990
ENSG00000215912.12	TTC34	protein_coding	-	0.97538	chr1	2801717
ENSG00000177133.10	LINC00982	antisense	-	1.0	chr1	3068437
ENSG00000142611.16	PRDM16	protein_coding	+	0.99581	chr1	3069168
ENSG00000279839.1	RP11-193J6.1	TEC	+	0.9784	chr1	3205988
ENSG00000272235.1	RP11-22L13.1	lincRNA	-	1.0	chr1	3310096
ENSG00000130762.14	ARHGEF16	protein_coding	+	1.0	chr1	3454426
ENSG00000272088.1	RP11-168F9.2	lincRNA	+	1.0	chr1	3487246
ENSG00000162591.15	MEGF6	protein_coding	-	0.98068	chr1	3611495
ENSG00000238260.1	RP11-46F15.2	antisense	-	1.0	chr1	3624743
ENSG00000158109.14	TPRG1L	protein_coding	+	0.97001	chr1	3625002
ENSG00000078900.14	TP73	protein_coding	+	0.99942	chr1	3652520
ENSG00000116213.15	WRAP73	protein_coding	-	0.99318	chr1	3652761
ENSG00000227372.11	TP73-AS1	transcribed_unitary_pseudogene	-	0.92943	chr1	3747336
ENSG00000235169.7	SMIM1	protein_coding	+	1.0	chr1	3772788
ENSG00000266075.2	RN7SL574P	misc_RNA	+	1.0	chr1	3782815
ENSG00000272153.1	RP1-286D6.5	antisense	+	1.0	chr1	3785008
ENSG00000130764.9	LRRC47	protein_coding	-	0.96317	chr1	3796504
ENSG00000116198.12	CEP104	protein_coding	-	0.90853	chr1	3857214
ENSG00000169598.15	DFFB	protein_coding	+	0.87295	chr1	3857267
ENSG00000236423.5	LINC01134	lincRNA	+	0.97481	chr1	3900372
ENSG00000196581.10	AJAP1	protein_coding	+	0.99505	chr1	4654732
ENSG00000069424.14	KCNAB2	protein_coding	+	0.99986	chr1	5991466
ENSG00000131697.17	NPHP4	protein_coding	-	0.99071	chr1	5992362
ENSG00000116254.17	CHD5	protein_coding	-	0.99989	chr1	6180123
ENSG00000226944.1	RP1-120G22.11	antisense	-	1.0	chr1	6205780
ENSG00000158286.12	RNF207	protein_coding	+	0.90734	chr1	6206176
ENSG00000116251.9	RPL22	protein_coding	-	0.87449	chr1	6209389
ENSG00000116237.15	ICMT	protein_coding	-	0.92819	chr1	6235972
ENSG00000158292.6	GPR153	protein_coding	-	1.0	chr1	6260975
ENSG00000097021.19	ACOT7	protein_coding	-	0.99482	chr1	6393554
ENSG00000187017.15	ESPN	protein_coding	+	0.84235	chr1	6424788
ENSG00000215788.9	TNFRSF25	protein_coding	-	0.96654	chr1	6466091
ENSG00000171680.21	PLEKHG5	protein_coding	-	0.98228	chr1	6520061
ENSG00000229519.2	RP11-58A11.2	processed_pseudogene	+	1.0	chr1	6547905
ENSG00000162408.10	NOL9	protein_coding	-	0.82951	chr1	6554535
ENSG00000173662.20	TAS1R1	protein_coding	+	1.0	chr1	6555181
ENSG00000204859.12	ZBTB48	protein_coding	+	1.0	chr1	6580001
ENSG00000116273.5	PHF13	protein_coding	+	0.99984	chr1	6613685
ENSG00000162413.16	KLHL21	protein_coding	-	0.95472	chr1	6614607
ENSG00000041988.15	THAP3	protein_coding	+	0.95456	chr1	6624866
ENSG00000007923.15	DNAJC11	protein_coding	-	1.0	chr1	6701924
ENSG00000228750.6	LINC01672	lincRNA	+	0.92381	chr1	6724637
ENSG00000237436.1	RP11-312B8.1	antisense	-	1.0	chr1	6784843
ENSG00000171735.18	CAMTA1	protein_coding	+	0.99706	chr1	6785324
ENSG00000270171.1	RP11-338N10.1	lincRNA	-	0.98451	chr1	7694844
ENSG00000270035.1	RP11-338N10.2	lincRNA	-	1.0	chr1	7698872
ENSG00000269978.1	RP11-338N10.3	lincRNA	-	1.0	chr1	7700970
ENSG00000049245.12	VAMP3	protein_coding	+	0.96797	chr1	7771269
ENSG00000269925.1	RP3-467L1.6	sense_intronic	+	1.0	chr1	7776383
ENSG00000049246.14	PER3	protein_coding	+	0.99655	chr1	7784320
ENSG00000236266.1	RP3-467L1.4	antisense	-	1.0	chr1	7827117
ENSG00000049249.8	TNFRSF9	protein_coding	-	0.89049	chr1	7943165
ENSG00000116288.12	PARK7	protein_coding	+	0.91613	chr1	7954291
ENSG00000116285.12	ERRFI1	protein_coding	-	0.9998	chr1	8026308
ENSG00000238290.1	RP11-431K24.1	lincRNA	+	1.0	chr1	8026738
ENSG00000162426.14	SLC45A1	protein_coding	+	1.0	chr1	8317826
ENSG00000232912.5	RP5-1115A15.1	antisense	+	1.0	chr1	8424645
ENSG00000142599.17	RERE	protein_coding	-	0.98654	chr1	8817643
ENSG00000236269.1	ENO1-IT1	sense_intronic	-	0.87745	chr1	8878007
ENSG00000074800.13	ENO1	protein_coding	-	0.98465	chr1	8879249
ENSG00000230679.1	ENO1-AS1	antisense	+	1.0	chr1	8879565
ENSG00000197241.3	SLC2A7	protein_coding	-	1.0	chr1	9026345
ENSG00000142583.17	SLC2A5	protein_coding	-	0.92891	chr1	9088478
ENSG00000180758.11	GPR157	protein_coding	-	0.88677	chr1	9129170
ENSG00000234546.3	LINC01759	lincRNA	+	1.0	chr1	9183751
ENSG00000228526.6	MIR34AHG	lincRNA	-	0.98409	chr1	9196983
ENSG00000281937.1	RP3-510D11.4	lincRNA	-	1.0	chr1	9198906
ENSG00000049239.12	H6PD	protein_coding	+	0.94732	chr1	9234775
ENSG00000171621.13	SPSB1	protein_coding	+	0.99543	chr1	9292880
ENSG00000231181.1	RP13-15M17.1	processed_pseudogene	+	0.91705	chr1	9576427
ENSG00000188807.12	TMEM201	protein_coding	+	1.0	chr1	9588922
ENSG00000171608.15	PIK3CD	protein_coding	+	0.92665	chr1	9651732
ENSG00000231789.2	PIK3CD-AS2	antisense	-	0.99791	chr1	9687555
ENSG00000171603.16	CLSTN1	protein_coding	-	1.0	chr1	9824526
ENSG00000178585.14	CTNNBIP1	protein_coding	-	1.0	chr1	9910336
ENSG00000228150.1	RP11-84A14.4	sense_intronic	+	0.9863	chr1	9942923
ENSG00000162441.11	LZIC	protein_coding	-	0.99491	chr1	9943407
ENSG00000162444.11	RBP7	protein_coding	+	0.87537	chr1	9997206
ENSG00000130939.18	UBE4B	protein_coding	+	0.97801	chr1	10032832
ENSG00000054523.17	KIF1B	protein_coding	+	0.95312	chr1	10210805
ENSG00000142657.20	PGD	protein_coding	+	0.91206	chr1	10398592
ENSG00000175279.21	CENPS	protein_coding	+	0.99725	chr1	10430783
ENSG00000241563.3	CORT	protein_coding	+	1.0	chr1	10449719
ENSG00000160049.11	DFFA	protein_coding	-	0.81607	chr1	10472526
ENSG00000142655.12	PEX14	protein_coding	+	0.9994	chr1	10474887
ENSG00000272078.1	RP4-734G22.3	antisense	+	1.0	chr1	10640060
ENSG00000130940.14	CASZ1	protein_coding	-	0.99922	chr1	10796650
ENSG00000175262.14	C1orf127	protein_coding	-	0.98626	chr1	10982037
ENSG00000120948.16	TARDBP	protein_coding	+	0.81447	chr1	11012344
ENSG00000271895.2	RP4-635E18.8	antisense	+	0.97483	chr1	11029659
ENSG00000009724.16	MASP2	protein_coding	-	0.99988	chr1	11047233
ENSG00000116649.9	SRM	protein_coding	-	0.99588	chr1	11060024
ENSG00000226849.1	RP4-635E18.7	antisense	+	1.0	chr1	11068471
ENSG00000171824.13	EXOSC10	protein_coding	-	0.95764	chr1	11098156
ENSG00000230337.1	RP4-635E18.6	antisense	+	1.0	chr1	11099675
ENSG00000171819.4	ANGPTL7	protein_coding	+	1.0	chr1	11189341
ENSG00000198793.12	MTOR	protein_coding	-	1.0	chr1	11262507
ENSG00000120942.13	UBIAD1	protein_coding	+	0.94727	chr1	11273206
ENSG00000204624.7	DISP3	protein_coding	+	1.0	chr1	11479166
ENSG00000132879.13	FBXO44	protein_coding	+	0.90248	chr1	11654857
ENSG00000116661.9	FBXO2	protein_coding	-	0.99716	chr1	11655785
ENSG00000116670.14	MAD2L2	protein_coding	-	1.0	chr1	11691650
ENSG00000177674.15	AGTRAP	protein_coding	+	1.0	chr1	11736084
ENSG00000177000.10	MTHFR	protein_coding	-	0.95259	chr1	11806920
ENSG00000011021.21	CLCN6	protein_coding	+	0.95513	chr1	11807131
ENSG00000242349.5	NPPA-AS1	antisense	+	1.0	chr1	11843704
ENSG00000175206.10	NPPA	protein_coding	-	1.0	chr1	11848345
ENSG00000120937.8	NPPB	protein_coding	-	0.9939	chr1	11858931
ENSG00000224904.1	RP5-934G17.6	processed_pseudogene	+	0.9959	chr1	11877770
ENSG00000083444.16	PLOD1	protein_coding	+	0.97758	chr1	11934205
ENSG00000116688.16	MFN2	protein_coding	+	1.0	chr1	11980181
ENSG00000116691.10	MIIP	protein_coding	+	1.0	chr1	12019466
ENSG00000120949.14	TNFRSF8	protein_coding	+	0.99984	chr1	12063377
ENSG00000028137.18	TNFRSF1B	protein_coding	+	0.93105	chr1	12167039
ENSG00000048707.13	VPS13D	protein_coding	+	0.99861	chr1	12230067
ENSG00000221340.1	RNU6ATAC18P	snRNA	-	1.0	chr1	12570072
ENSG00000162496.8	DHRS3	protein_coding	-	0.99933	chr1	12617731
ENSG00000272482.1	RP11-474O21.5	lincRNA	-	1.0	chr1	12619244
ENSG00000204518.2	AADACL4	protein_coding	+	1.0	chr1	12644547
ENSG00000157330.9	C1orf158	protein_coding	+	0.86337	chr1	12746215
ENSG00000162493.16	PDPN	protein_coding	+	0.97302	chr1	13583465
ENSG00000116731.22	PRDM2	protein_coding	+	1.0	chr1	13700198
ENSG00000189337.16	KAZN	protein_coding	+	0.98	chr1	13892792
ENSG00000175147.11	TMEM51-AS1	antisense	-	1.0	chr1	15152464
ENSG00000171729.13	TMEM51	protein_coding	+	0.99986	chr1	15152532
ENSG00000142621.19	FHAD1	protein_coding	+	0.98399	chr1	15247272
ENSG00000236045.1	RP3-467K16.7	antisense	-	1.0	chr1	15335464
ENSG00000233485.1	RP3-467K16.2	antisense	-	0.98058	chr1	15343876
ENSG00000228140.1	RP3-467K16.4	lincRNA	-	0.94533	chr1	15409433
ENSG00000142634.12	EFHD2	protein_coding	+	1.0	chr1	15409895
ENSG00000162438.11	CTRC	protein_coding	+	0.85655	chr1	15438439
ENSG00000142615.7	CELA2A	protein_coding	+	0.81931	chr1	15456728
ENSG00000215704.9	CELA2B	protein_coding	+	0.8631	chr1	15465909
ENSG00000132906.17	CASP9	protein_coding	-	0.94931	chr1	15526534
ENSG00000116138.12	DNAJC16	protein_coding	+	0.96887	chr1	15526813
ENSG00000272510.1	RP4-680D5.8	antisense	-	1.0	chr1	15565817
ENSG00000116771.5	AGMAT	protein_coding	-	0.80245	chr1	15585110
ENSG00000237301.1	RP4-680D5.2	antisense	-	0.95618	chr1	15603626
ENSG00000197312.11	DDI2	protein_coding	+	0.94539	chr1	15617500
ENSG00000116786.11	PLEKHM2	protein_coding	+	0.99949	chr1	15684332
ENSG00000162461.7	SLC25A34	protein_coding	+	0.8808	chr1	15736405
ENSG00000237938.5	RP11-288I21.1	antisense	-	1.0	chr1	15736896
ENSG00000162458.12	FBLIM1	protein_coding	+	0.81649	chr1	15756607
ENSG00000233954.6	UQCRHL	protein_coding	-	0.81837	chr1	15809348
ENSG00000178715.8	RP11-169K16.8	processed_pseudogene	+	0.8125	chr1	15828232
ENSG00000179743.4	FLJ37453	antisense	-	0.97534	chr1	15836906
ENSG00000065526.10	SPEN	protein_coding	+	0.99932	chr1	15847864
ENSG00000116809.11	ZBTB17	protein_coding	-	1.0	chr1	15976132
ENSG00000183888.4	C1orf64	protein_coding	+	0.92374	chr1	16004236
ENSG00000173641.17	HSPB7	protein_coding	-	1.0	chr1	16019594
ENSG00000227959.1	RP11-276H7.2	antisense	+	1.0	chr1	16155211
ENSG00000142627.12	EPHA2	protein_coding	-	0.99546	chr1	16156087
ENSG00000224621.1	RP11-276H7.3	antisense	+	1.0	chr1	16159266
ENSG00000142632.16	ARHGEF19	protein_coding	-	1.0	chr1	16212609
ENSG00000237276.8	ANO7L1	transcribed_unprocessed_pseudogene	-	0.98691	chr1	16228027
ENSG00000132881.11	RSG1	protein_coding	-	0.99906	chr1	16237162
ENSG00000037637.10	FBXO42	protein_coding	-	0.99234	chr1	16352454
ENSG00000055070.16	SZRD1	protein_coding	+	0.93004	chr1	16352575
ENSG00000157191.19	NECAP2	protein_coding	+	0.98834	chr1	16440672
ENSG00000226029.1	LINC01772	lincRNA	+	0.98855	chr1	16460948
ENSG00000080947.14	CROCCP3	transcribed_unprocessed_pseudogene	-	0.85664	chr1	16499257
ENSG00000236698.1	EIF1AXP1	processed_pseudogene	-	0.84488	chr1	16686055
ENSG00000272426.1	RP11-108M9.6	lincRNA	-	0.96749	chr1	16904776
ENSG00000058453.16	CROCC	protein_coding	+	0.81955	chr1	16921950
ENSG00000117122.13	MFAP2	protein_coding	-	0.86467	chr1	16980835
ENSG00000159363.17	ATP13A2	protein_coding	-	0.99647	chr1	17011928
ENSG00000117118.9	SDHB	protein_coding	-	0.99767	chr1	17054170
ENSG00000117115.12	PADI2	protein_coding	-	0.99842	chr1	17119435
ENSG00000159339.13	PADI4	protein_coding	+	0.91445	chr1	17308195
ENSG00000074964.16	ARHGEF10L	protein_coding	+	0.99987	chr1	17539835
ENSG00000117154.11	IGSF21	protein_coding	+	1.0	chr1	18107746
ENSG00000179023.8	KLHDC7A	protein_coding	+	0.97867	chr1	18480982
ENSG00000159423.16	ALDH4A1	protein_coding	-	1.0	chr1	18902781
ENSG00000169991.10	IFFO2	protein_coding	-	0.99737	chr1	18956686
ENSG00000272084.1	RP5-1126H10.2	3prime_overlapping_ncRNA	-	0.99369	chr1	19075511
ENSG00000127481.14	UBR4	protein_coding	-	0.98312	chr1	19210276
ENSG00000230424.1	RP1-43E13.2	antisense	+	1.0	chr1	19210501
ENSG00000127463.13	EMC1	protein_coding	-	0.9342	chr1	19251538
ENSG00000053372.4	MRTO4	protein_coding	+	0.90513	chr1	19251553
ENSG00000211454.13	AKR7L	polymorphic_pseudogene	-	0.84617	chr1	19274194
ENSG00000270728.1	RP4-657E11.10	processed_pseudogene	+	1.0	chr1	19297080
ENSG00000053371.12	AKR7A2	protein_coding	-	0.84289	chr1	19312146
ENSG00000040487.12	PQLC2	protein_coding	+	0.93527	chr1	19312326
ENSG00000077549.17	CAPZB	protein_coding	-	0.99822	chr1	19485539
ENSG00000173436.13	MINOS1	protein_coding	+	0.90163	chr1	19596977
ENSG00000226396.1	RP5-1056L3.3	processed_pseudogene	+	0.82371	chr1	19608114
ENSG00000158747.13	NBL1	protein_coding	+	1.0	chr1	19640554
ENSG00000162542.13	TMCO4	protein_coding	-	1.0	chr1	19799945
ENSG00000169914.5	OTUD3	protein_coding	+	0.96368	chr1	19882513
ENSG00000188257.10	PLA2G2A	protein_coding	-	1.0	chr1	19980416
ENSG00000127472.10	PLA2G5	protein_coding	+	1.0	chr1	20028179
ENSG00000117215.14	PLA2G2D	protein_coding	-	0.93408	chr1	20119566
ENSG00000162543.5	UBXN10	protein_coding	+	0.9998	chr1	20186085
ENSG00000225986.1	UBXN10-AS1	antisense	-	1.0	chr1	20186486
ENSG00000158816.15	VWA5B1	protein_coding	+	0.93189	chr1	20290919
ENSG00000162545.5	CAMK2N1	protein_coding	-	0.99516	chr1	20486220
ENSG00000090432.6	MUL1	protein_coding	-	1.0	chr1	20508161
ENSG00000183114.7	FAM43B	protein_coding	+	1.0	chr1	20552439
ENSG00000158825.5	CDA	protein_coding	+	1.0	chr1	20588948
ENSG00000158828.7	PINK1	protein_coding	+	0.9999	chr1	20633455
ENSG00000117242.7	PINK1-AS	antisense	-	0.96787	chr1	20651766
ENSG00000244038.9	DDOST	protein_coding	-	0.86811	chr1	20661544
ENSG00000117245.12	KIF17	protein_coding	-	0.99946	chr1	20718017
ENSG00000189410.11	SH2D5	protein_coding	-	1.0	chr1	20732837
ENSG00000127483.17	HP1BP3	protein_coding	-	0.91005	chr1	20787323
ENSG00000075151.20	EIF4G3	protein_coding	-	0.99252	chr1	21176888
ENSG00000231105.1	RP5-1071N3.1	antisense	+	1.0	chr1	21293290
ENSG00000117298.14	ECE1	protein_coding	-	0.96575	chr1	21345504
ENSG00000162551.13	ALPL	protein_coding	+	1.0	chr1	21509372
ENSG00000233431.1	RP11-63N8.3	antisense	+	1.0	chr1	21586472
ENSG00000076864.19	RAP1GAP	protein_coding	-	1.0	chr1	21669363
ENSG00000090686.15	USP48	protein_coding	-	0.99986	chr1	21783606
ENSG00000187942.11	LDLRAD2	protein_coding	+	0.99954	chr1	21812265
ENSG00000142798.17	HSPG2	protein_coding	-	0.98798	chr1	21937297
ENSG00000218510.6	LINC00339	lincRNA	+	0.9864	chr1	22024531
ENSG00000230068.2	CDC42-IT1	sense_intronic	+	0.96434	chr1	22059197
ENSG00000271840.1	RP1-224A6.9	lincRNA	+	1.0	chr1	22100613
ENSG00000162552.14	WNT4	protein_coding	-	0.99325	chr1	22143969
ENSG00000184677.16	ZBTB40	protein_coding	+	0.98897	chr1	22451851
ENSG00000237200.1	ZBTB40-IT1	sense_intronic	+	1.0	chr1	22517474
ENSG00000173372.16	C1QA	protein_coding	+	1.0	chr1	22636506
ENSG00000159189.11	C1QC	protein_coding	+	1.0	chr1	22643630
ENSG00000173369.15	C1QB	protein_coding	+	1.0	chr1	22652762
ENSG00000133216.16	EPHB2	protein_coding	+	0.98665	chr1	22710839
ENSG00000004487.15	KDM1A	protein_coding	+	0.97752	chr1	23019448
ENSG00000169641.13	LUZP1	protein_coding	-	0.98856	chr1	23177808
ENSG00000261326.2	LINC01355	lincRNA	-	0.99759	chr1	23286752
ENSG00000125944.18	HNRNPR	protein_coding	-	0.96699	chr1	23344336
ENSG00000125945.14	ZNF436	protein_coding	-	1.0	chr1	23368386
ENSG00000249087.6	ZNF436-AS1	antisense	+	1.0	chr1	23368997
ENSG00000271420.1	RP5-1057J7.7	lincRNA	-	0.98633	chr1	23379029
ENSG00000204219.9	TCEA3	protein_coding	-	0.99647	chr1	23424740
ENSG00000088280.18	ASAP3	protein_coding	-	0.99946	chr1	23484568
ENSG00000007968.6	E2F2	protein_coding	-	0.96364	chr1	23531220
ENSG00000235052.1	RP1-150O5.3	lincRNA	-	1.0	chr1	23550915
ENSG00000117318.8	ID3	protein_coding	-	1.0	chr1	23559794
ENSG00000197880.8	MDS2	protein_coding	+	0.95634	chr1	23581495
ENSG00000142676.12	RPL11	protein_coding	+	0.99129	chr1	23691779
ENSG00000011007.12	ELOA	protein_coding	+	0.99975	chr1	23743155
ENSG00000236810.5	ELOA-AS1	antisense	-	1.0	chr1	23778287
ENSG00000057757.9	PITHD1	protein_coding	+	0.97998	chr1	23778405
ENSG00000117308.14	GALE	protein_coding	-	1.0	chr1	23800804
ENSG00000117305.14	HMGCL	protein_coding	-	0.96409	chr1	23838620
ENSG00000179163.11	FUCA1	protein_coding	-	1.0	chr1	23868294
ENSG00000229106.1	BTBD6P1	processed_pseudogene	-	0.9036	chr1	23902737
ENSG00000188822.7	CNR2	protein_coding	-	0.8739	chr1	23913362
ENSG00000188529.14	SRSF10	protein_coding	-	0.85731	chr1	23980927
ENSG00000142661.18	MYOM3	protein_coding	-	0.97673	chr1	24112175
ENSG00000142677.3	IL22RA1	protein_coding	-	1.0	chr1	24143121
ENSG00000185436.11	IFNLR1	protein_coding	-	0.94607	chr1	24187959
ENSG00000158055.15	GRHL3	protein_coding	+	1.0	chr1	24319322
ENSG00000001460.17	STPG1	protein_coding	-	0.99129	chr1	24416934
ENSG00000001461.16	NIPAL3	protein_coding	+	0.98404	chr1	24419291
ENSG00000117602.11	RCAN3	protein_coding	+	0.94806	chr1	24502351
ENSG00000264443.1	RP4-594I10.3	lincRNA	-	1.0	chr1	24556024
ENSG00000184454.6	NCMAP	protein_coding	+	0.907	chr1	24556111
ENSG00000133226.16	SRRM1	protein_coding	+	0.83059	chr1	24631716
ENSG00000169504.14	CLIC4	protein_coding	+	0.84933	chr1	24745357
ENSG00000020633.18	RUNX3	protein_coding	-	0.99801	chr1	24965121
ENSG00000117614.9	SYF2	protein_coding	-	0.97004	chr1	25232502
ENSG00000272432.1	RP3-465N24.6	lincRNA	+	1.0	chr1	25247837
ENSG00000183726.10	TMEM50A	protein_coding	+	0.92622	chr1	25338214
ENSG00000204178.9	TMEM57	protein_coding	+	0.99983	chr1	25430858
ENSG00000157978.11	LDLRAP1	protein_coding	+	0.99735	chr1	25543580
ENSG00000225643.1	RP11-70P17.1	lincRNA	+	1.0	chr1	25581478
ENSG00000117643.14	MAN1C1	protein_coding	+	0.94606	chr1	25617468
ENSG00000233478.1	RP1-187B23.1	antisense	-	1.0	chr1	25659111
ENSG00000162430.16	SELENON	protein_coding	+	0.93944	chr1	25800176
ENSG00000228172.5	RP1-317E23.3	antisense	-	1.0	chr1	25820761
ENSG00000117640.17	MTFR1L	protein_coding	+	0.94743	chr1	25820798
ENSG00000127423.10	AUNIP	protein_coding	-	0.89812	chr1	25859458
ENSG00000182749.5	PAQR7	protein_coding	-	0.93139	chr1	25871253
ENSG00000117632.22	STMN1	protein_coding	-	0.96312	chr1	25906991
ENSG00000158006.13	PAFAH2	protein_coding	-	0.94253	chr1	25998157
ENSG00000158008.9	EXTL1	protein_coding	+	1.0	chr1	26019884
ENSG00000158014.14	SLC30A2	protein_coding	-	0.93705	chr1	26046133
ENSG00000284309.1	RP11-96L14.9	bidirectional_promoter_lncRNA	+	1.0	chr1	26046665
ENSG00000158022.6	TRIM63	protein_coding	-	0.98761	chr1	26068436
ENSG00000175087.9	PDIK1L	protein_coding	+	0.99987	chr1	26111165
ENSG00000197245.5	FAM110D	protein_coding	+	0.82179	chr1	26159020
